id,name,address,operator
DORM-45440,14 SIN MING AUTOCITY SINGAPORE 575722 CT AUTO,160 SIN MING DRIVE #02,PTE. LTD.
DORM-45441,05 SIN MING AUTOCITY SINGAPORE 575722 TRUSTY CARS,160 SIN MING DRIVE #03,PTE. LTD.
DORM-45477,02 SIN MING AUTOCITY SINGAPORE 575722 LAI HUAT (MENG KEE) MOTOR,160 SIN MING DRIVE #04,PTE LTD
DORM-45442,15 SIN MING AUTOCITY SINGAPORE 575722 ICAR MOTORWERKZ,160 SIN MING DRIVE #04,PTE. LTD.
DORM-45443,21 SIN MING AUTOCITY SINGAPORE 575722 ENG SHING MECHANICAL WORKS,160 SIN MING DRIVE #06,
DORM-45444,03 SIN MING AUTOCITY SINGAPORE 575722 LAI HUAT (MENG KEE) MOTOR,160 SIN MING DRIVE #07,PTE LTD
DORM-45445,10 SIN MING AUTOCITY SINGAPORE 575722 ESTEEM PERFORMANCE,160 SIN MING DRIVE #07,PTE LTD
DORM-45446,19 SIN MING AUTOCITY SINGAPORE 575722 BVO AUTOMOTIVE,160 SIN MING DRIVE #08,PTE LTD
DORM-01086,,8 CHANG CHARN ROAD SINGAPORE 159637 LINK MILLENNIUM PTE LTD,
DORM-45620,"26, SINGAPORE 489950 SG HERITAGE FOOD",1550 BEDOK NORTH AVENUE 4 #03,PTE LTD
DORM-45682,"13, Sin Ming AutoCity, Singapore 575722 Trusty Cars","160 Sin Ming Drive, #03",Pte Ltd
DORM-45683,"14, Sin Ming AutoCity, Singapore 575722 Trusty Cars","160 Sin Ming Drive, #03",Pte Ltd
DORM-46611,"15, SIN MING AUTOCITY, SINGAPORE 575722 NEXWAVE AUTO",160 SIN MING DRIVE #05,
DORM-46613,"17, SIN MING AUTOCITY, SINGAPORE 575722 VAG SINGAPORE",160 SIN MING DRIVE #04,PTE LTD
DORM-45425,32 SINGAPORE 489950 TEE & CON MANUFACTURING,1550 BEDOK NORTH AVENUE 4 #04,
DORM-45338,"99480C, 00611N, MACKENZIE ROAD Eng Lam Contractor Co",[TOLQ] TS19,Pte Ltd
DORM-46385,,20 JALAN LEKAR SUNGEI TENGAH AGROTECHNOLOGY PARK SINGAPORE 6 9O8N9E31O2HYDROCULTURE PTE LTD ONEO2HYDROCULTURE PTE LTD,
DORM-45819,,11 CHENCHARU LINK SINGAPORE 768145 NOSH PRODUCE PTE LTD NOSH PRODUCE PTE LTD,
DORM-46365,,50 JALAN LEKAR SINGAPORE 698945 KOK HENG LANDSCAPING PTE LTD KOK HENG LANDSCAPING PTE LTD,
DORM-46350,,PLOT ST 73 LORONG SEMANGKA SINGAPORE 690000 BOCK TAT VEGETABLE FARM AND SUPPLIER BOCK TAT VEGETABLE FARM AND SUPPLIER,
DORM-46306,,50 (PLOT LCK 15) LIM CHU KANG LANE 9 SINGAPORE 719530 TROPICAL WATER INDUSTRIES PTE LTD TROPICAL WATER INDUSTRIES PTE LTD,
DORM-46232,TAINMENT PTE LTD FUSION AGRI-TAINMENT,PLOT LCK 42 LIM CHU KANG LANE 6 SINGAPORE 710000 FUSION AGRI,PTE LTD
DORM-46328,,T80 SELETAR WEST FARMWAY 5 SINGAPORE 798060 GREENSCAPE PTE LTD GREENSCAPE PTE LTD,
DORM-46096,,6 (PLOT SBW7) CHENCHARU LINK SINGAPORE 768044 SOUTH ISLAND AQUARIUM PTE LTD SOUTH ISLAND AQUARIUM PTE LTD,
DORM-46441,,21 (PLOT 119) NEO TIEW LANE 1 SINAGPORE 718788 BLUE AQUA BREEDING CENTER PTE LTD BLUE AQUA BREEDING CENTER PTE LTD,
DORM-46391,,106 (PLOT ST 27) SUNGEI TENGAH ROAD SINGAPORE 698981 TEO JOO GUAN ORCHID NURSERY TEO JOO GUAN ORCHID NURSERY,
DORM-46319,,650 (PLOT LCK003) LIM CHU KANG ROAD SINGAPORE 719455 LANDSCAPE ENGINEERING PTE LTD LANDSCAPE ENGINEERING PTE LTD,
DORM-46448,,(PLOT ST31) SUNGEI TENGAH ROAD SINGAPORE 698984 WANG SHENG VEGETABLE FARM WANG SHENG VEGETABLE FARM,
DORM-46224,,FC31W LIM CHU KANG COASTAL AREA MPG TRADING PTE LTD MPG TRADING PTE LTD,
DORM-46188,,291 NEO TIEW CRESCENT SINGAPORE 719099 HAUSMANN INVESTMENTS PTE LTD HAUSMANN INVESTMENTS PTE LTD,
DORM-46111,,8 (PLOT 01964C) NEO TIEW HARVEST PLACE SINGAPORE 719832 MAO SHENG QUANJI CONSTRUCTION PTE LTD MAO SHENG QUANJI CONSTRUCTION PTE LTD,
DORM-46389,,(PLOT ST029) SUNGEI TENGAH ROAD SINGAPORE 698995 EVERFRESH VEGETABLE FARM EVERFRESH VEGETABLE FARM,
DORM-46313,,1 LIM CHU KANG LANE 6 SINGAPORE 718924 GARDEN BEAU PTE LTD GARDEN BEAU PTE LTD,
DORM-46046,,FF2 SERANGOON COASTAL AREA SINGAPORE AQUACULTURE TECHNOLOGIES (SAT) PTE LTD SINGAPORE AQUACULTURE TECHNOLOGIES (SAT) PTE LTD,
DORM-45122,,FF3 SERANGOON COASTAL AREA SINGAPORE AQUACULTURE TECHNOLOGIES (SAT) PTE LTD SINGAPORE AQUACULTURE TECHNOLOGIES (SAT) PTE LTD,
DORM-46058,,FF4 SERANGOON COASTAL AREA SINGAPORE AQUACULTURE TECHNOLOGIES (SAT) PTE LTD SINGAPORE AQUACULTURE TECHNOLOGIES (SAT) PTE LTD,
DORM-46399,TURE’S VEGGIE FARM NATURE’S VEGGIE FARM,19 SUNGEI TENGAH ROAD SINGAPORE 698975,
DORM-46395,,104 (PLOT ST 24) SUNGEI TENGAH ROAD SINGAPORE 698987 HILLVIEW NURSERY HILLVIEW NURSERY,
DORM-46029,,FC(I)124E PULAU UBIN COASTAL AREA METROPOLITAN FISHERY GROUP PTE LTD METROPOLITAN FISHERY GROUP PTE LTD,
DORM-46063,,(PLOT 2.4) NEO TIEW LANE 3 TOH CHIN LEONG CONSTRUCTION PTE LTD TOH CHIN LEONG CONSTRUCTION PTE LTD,
DORM-46326,,23 (PLOT 91) SELETAR WEST FARMWAY 1 SINGAPORE 798133 WILLIAM GOH KENNEL WILLIAM GOH KENNEL,
DORM-46398,,(PLOT ST20) SUNGEI TENGAH ROAD MAO SHENG XIAN CAI NONG CHANG MAO SHENG XIAN CAI NONG CHANG,
DORM-46397,,(PLOT ST22) SUNGEI TENGAH ROAD ONG WEE CHORNG VEGETABLE ONG WEE CHORNG VEGETABLE,
DORM-45817,,250 NEO TIEW CRESCENT SINGAPORE 719866 HAY DAIRIES PTE LTD HAY DAIRIES PTE LTD,
DORM-46394,,102 (PLOT ST 25) SUNGEI TENGAH ROAD SINGAPORE 698995 BESCON GARDEN & LANDSCAPE PTE LTD BESCON GARDEN & LANDSCAPE PTE LTD,
DORM-46439,,FC58W LIM CHU KANG COASTAL AREA FC58W HENG HENG FISH FARM HENG HENG FISH FARM,
DORM-46204,,FC7W LIM CHU KANG COASTAL AREA FC7W YS SEAFOOD TRADING YS SEAFOOD TRADING,
DORM-46254,,FC22W LIM CHU KANG COASTAL AREA FC22W YS SEAFOOD TRADING YS SEAFOOD TRADING,
DORM-46205,,FC29W LIM CHU KANG COASTAL AREA FC29W YS SEAFOOD TRADING YS SEAFOOD TRADING,
DORM-46065,,FC57W LIM CHU KANG COASTAL AREA FC57W YS SEAFOOD TRADING YS SEAFOOD TRADING,
DORM-46109,,FC60W LIM CHU KANG COASTAL AREA FC60W YS SEAFOOD TRADING YS SEAFOOD TRADING,
DORM-46449,,(PLOT ST6) SUNGEI TENGAH ROAD SINGAPORE 690000 TAY SAM LIANG TAY SAM LIANG,
DORM-46349,,PLOT ST 74 LORONG SEMANGKA SINGAPORE 690000 YEW FAH VEGETABLE FARM YEW FAH VEGETABLE FARM,
DORM-46429,,FC112E PULAU UBIN COASTAL AREA STRAITS SEAFOOD PTE. LTD. STRAITS SEAFOOD PTE. LTD.,
DORM-46266,,FC2W LIM CHU KANG COASTAL AREA LIM SIN GUAN TRADING LIM SIN GUAN TRADING,
